Channel,Wecker,,,,,,,peaks
789,23,,,,,,,
790,26,,,,,,,
791,17,,,,,,,
792,18,,,,,,,
793,20,,,,,,,
794,16,,,,,,,
795,18,,,,,,,
796,14,,,,,,,
797,18,,,,,,,
798,17,,,,,,,
799,17,,,,,,,
800,29,,,,,,,
801,22,,,,,,,
802,18,,,,,,,
803,30,,,,,,,
804,27,,,,,,,
805,34,,,,,,,
806,42,,,,,,,
807,39,,,,,,,
808,46,,,,,,,
809,45,,,,,,,
810,41,,,,,,,
811,47,,,,,,,
812,46,,,,,,,
813,50,,,,,,,
814,58,,,,,,,
815,57,,,,,,,
816,44,,,,,,,
817,51,,,,,,,
818,54,,,,,,,
819,57,,,,,,,
820,53,,,,,,,
821,63,,,,,,,
822,60,,,,,,,
823,60,,,,,,,
824,52,,,,,,,
825,53,,,,,,,
826,58,,,,,,,
827,56,,,,,,,
828,56,,,,,,,
829,42,,,,,,,
830,58,,,,,,,
831,53,,,,,,,
832,51,,,,,,,
833,37,,,,,,,
834,38,,,,,,,
835,42,,,,,,,
836,39,,,,,,,
837,44,,,,,,,
838,33,,,,,,,
839,26,,,,,,,
840,41,,,,,,,
841,27,,,,,,,
842,27,,,,,,,
843,27,,,,,,,
844,24,,,,,,,
845,21,,,,,,,
846,18,,,,,,,
847,15,,,,,,,
848,23,,,,,,,
849,16,,,,,,,
850,18,,,,,,,
851,10,,,,,,,
852,11,,,,,,,
853,9,,,,,,,
854,8,,,,,,,
855,8,,,,,,,
856,7,,,,,,,
857,2,,,,,,,
858,10,,,,,,,
859,12,,,,,,,
860,8,,,,,,,
861,7,,,,,,,
862,9,,,,,,,
863,12,,,,,,,
864,6,,,,,,,
865,10,,,,,,,
866,7,,,,,,,
867,9,,,,,,,
868,8,,,,,,,
869,6,,,,,,,
870,6,,,,,,,
871,6,,,,,,,
872,8,,,,,,,
873,5,,,,,,,
874,7,,,,,,,
875,18,,,,,,,
876,7,,,,,,,
877,5,,,,,,,
878,9,,,,,,,
879,7,,,,,,,
880,10,,,,,,,
881,11,,,,,,,
882,5,,,,,,,
883,10,,,,,,,
884,14,,,,,,,
885,1,,,,,,,
886,9,,,,,,,
887,2,,,,,,,
888,2,,,,,,,
889,5,,,,,,,
890,9,,,,,,,
891,2,,,,,,,
